Match_ID,Agent1,Agent2,Agent1_Color,Agent2_Color,Winner,Score,Total_Moves,Agent1_Moves,Agent2_Moves,Game_Duration,Agent1_Total_Time,Agent2_Total_Time,Agent1_Avg_Time,Agent2_Avg_Time,Agent1_Max_Time,Agent2_Max_Time,Termination_Reason,Final_Ball_Position
Agent depth1_level2_run2_vs_Agent depth2_level2_run1,Agent depth1_level2_run2,Agent depth2_level2_run1,LEFT,RIGHT,draw,0.0,200,100,100,1.09,0.11641,0.94303,0.00116,0.00943,0.01610,0.03436,max_moves,"(0, 0)"
Agent depth1_level2_run2_vs_Agent depth2_level2_run1,Agent depth1_level2_run2,Agent depth2_level2_run1,RIGHT,LEFT,draw,0.0,200,100,100,1.01,0.09539,0.89903,0.00095,0.00899,0.01603,0.02354,max_moves,"(0, 0)"
Agent depth1_level2_run2_vs_Agent depth3_level2_run1,Agent depth1_level2_run2,Agent depth3_level2_run1,LEFT,RIGHT,draw,0.0,200,70,130,8.72,0.11446,8.58365,0.00164,0.06603,0.01615,0.64143,max_moves,"(0, 0)"
Agent depth1_level2_run2_vs_Agent depth3_level2_run1,Agent depth1_level2_run2,Agent depth3_level2_run1,RIGHT,LEFT,agent2,-1.0,16,5,11,3.69,0.00090,3.69067,0.00018,0.33552,0.00090,0.64856,goal,"(0, 0)"
Agent depth1_level2_run2_vs_Agent AlbertoBestAgent,Agent depth1_level2_run2,Agent AlbertoBestAgent,LEFT,RIGHT,draw,0.0,200,100,100,0.36,0.16000,0.18841,0.00160,0.00188,0.01617,0.01616,max_moves,"(0, 0)"
Agent depth1_level2_run2_vs_Agent AlbertoBestAgent,Agent depth1_level2_run2,Agent AlbertoBestAgent,RIGHT,LEFT,draw,0.0,200,100,100,0.19,0.11871,0.05651,0.00119,0.00057,0.01803,0.01608,max_moves,"(0, 0)"
Agent depth1_level2_run2_vs_Agent AlbertoAvg,Agent depth1_level2_run2,Agent AlbertoAvg,LEFT,RIGHT,draw,0.0,200,100,100,0.36,0.14162,0.17599,0.00142,0.00176,0.01633,0.01610,max_moves,"(0, 0)"
Agent depth1_level2_run2_vs_Agent AlbertoAvg,Agent depth1_level2_run2,Agent AlbertoAvg,RIGHT,LEFT,draw,0.0,200,101,99,0.31,0.12783,0.17039,0.00127,0.00172,0.01603,0.01677,max_moves,"(0, 0)"
Agent depth2_level2_run1_vs_Agent depth3_level2_run1,Agent depth2_level2_run1,Agent depth3_level2_run1,LEFT,RIGHT,draw,0.0,200,68,132,10.93,1.02960,9.90002,0.01514,0.07500,0.04140,0.41309,max_moves,"(0, 0)"
Agent depth2_level2_run1_vs_Agent depth3_level2_run1,Agent depth2_level2_run1,Agent depth3_level2_run1,RIGHT,LEFT,agent2,-1.0,65,30,35,11.00,0.64498,10.33579,0.02150,0.29531,0.05163,0.81034,goal,"(0, 0)"
Agent depth2_level2_run1_vs_Agent AlbertoBestAgent,Agent depth2_level2_run1,Agent AlbertoBestAgent,LEFT,RIGHT,draw,0.0,200,100,100,2.24,1.97524,0.24541,0.01975,0.00245,0.03687,0.01659,max_moves,"(0, 0)"
Agent depth2_level2_run1_vs_Agent AlbertoBestAgent,Agent depth2_level2_run1,Agent AlbertoBestAgent,RIGHT,LEFT,draw,0.0,200,100,100,0.83,0.71897,0.08601,0.00719,0.00086,0.04234,0.01592,max_moves,"(0, 0)"
Agent depth2_level2_run1_vs_Agent AlbertoAvg,Agent depth2_level2_run1,Agent AlbertoAvg,LEFT,RIGHT,draw,0.0,200,100,100,2.14,1.96440,0.14520,0.01964,0.00145,0.03627,0.01599,max_moves,"(0, 0)"
Agent depth2_level2_run1_vs_Agent AlbertoAvg,Agent depth2_level2_run1,Agent AlbertoAvg,RIGHT,LEFT,draw,0.0,200,100,100,0.57,0.48920,0.06278,0.00489,0.00063,0.04191,0.01594,max_moves,"(0, 0)"
Agent depth3_level2_run1_vs_Agent AlbertoBestAgent,Agent depth3_level2_run1,Agent AlbertoBestAgent,LEFT,RIGHT,agent1,1.0,16,9,7,2.47,2.45296,0.01620,0.27255,0.00231,0.54938,0.01620,goal,"(0, 0)"
Agent depth3_level2_run1_vs_Agent AlbertoBestAgent,Agent depth3_level2_run1,Agent AlbertoBestAgent,RIGHT,LEFT,draw,0.0,200,100,100,23.91,23.80873,0.09951,0.23809,0.00100,0.50022,0.01673,max_moves,"(0, 0)"
Agent depth3_level2_run1_vs_Agent AlbertoAvg,Agent depth3_level2_run1,Agent AlbertoAvg,LEFT,RIGHT,agent1,1.0,54,30,24,7.22,7.17014,0.05161,0.23900,0.00215,0.63616,0.01598,goal,"(0, 0)"
Agent depth3_level2_run1_vs_Agent AlbertoAvg,Agent depth3_level2_run1,Agent AlbertoAvg,RIGHT,LEFT,draw,0.0,200,100,100,25.12,24.96745,0.06143,0.24967,0.00061,0.57604,0.01618,max_moves,"(0, 0)"
Agent AlbertoBestAgent_vs_Agent AlbertoAvg,Agent AlbertoBestAgent,Agent AlbertoAvg,LEFT,RIGHT,draw,0.0,200,100,100,0.29,0.06209,0.19902,0.00062,0.00199,0.01579,0.01715,max_moves,"(0, 0)"
Agent AlbertoBestAgent_vs_Agent AlbertoAvg,Agent AlbertoBestAgent,Agent AlbertoAvg,RIGHT,LEFT,draw,0.0,200,100,100,0.29,0.20961,0.07565,0.00210,0.00076,0.01608,0.01579,max_moves,"(0, 0)"
